Id,Grow,Nursery,Geno,DryWt.g,BuoyWt.g,SatWt.g,Dsw.kg/m3,Vol.cm3,PoreVol.cm3,porosity.%,BulkDens,MicroDens
Bunk1,Block,South,Unk,26.5216,16.8256,28.8481,1023.754,11.74354386,2.272518593,19.35%,2.258398344,2.800288169
Bunk2,Block,South,Unk,24.7314,15.6192,28.5513,1023.754,12.63203856,3.731267472,29.54%,1.957831263,2.778568257
Bunk3,Block,South,Unk,30.7638,19.5548,32.8427,1023.754,12.97958299,2.030663616,15.65%,2.370168597,2.809756741
Bunk4,Block,South,Unk,71.1975,44.9807,74.9786,1023.754,29.30186353,3.693367743,12.60%,2.429794266,2.780229678
Bunk5,Block,South,Unk,10.1607,6.3913,10.8672,1023.754,4.37204641,0.690107194,15.78%,2.324014671,2.759605579
Bunk6,Block,South,Unk,46.4388,29.4126,49.9777,1023.754,20.08793128,3.45678747,17.21%,2.311776128,2.792279384
Bunk7,Block,South,Unk,81.5802,51.2907,87.2803,1023.754,35.15453908,5.567841493,15.84%,2.320616402,2.757326997
Bunk8,Block,South,Unk,35.7209,22.4527,39.5711,1023.754,16.72120451,3.760864426,22.49%,2.136263568,2.75616996
Bunk9,Block,South,Unk,31.4869,19.8968,33.9684,1023.754,13.74509892,2.423922153,17.63%,2.290772892,2.781239146
Bunk10,Block,South,Unk,143.9351,90.8321,154.4701,1023.754,62.16141768,10.29055808,16.55%,2.315505427,2.774874006
Bunk11,Block,South,Unk,87.9273,54.6097,96.9668,1023.754,41.374295,8.82975793,21.34%,2.125167329,2.70175298
Bunk12,Block,South,Unk,34.9971,22.0997,38.0384,1023.754,15.5688769,2.970733203,19.08%,2.247888543,2.777956884
Bunk13,Block,South,Unk,16.2802,10.2276,19.4772,1023.754,9.034983013,3.122820521,34.56%,1.801907096,2.753679389
Bunk14,Block,South,Unk,36.5822,23.2246,38.9224,1023.754,15.33356646,2.285900714,14.91%,2.385759379,2.80373522
Bunk15,Block,South,Unk,120.1857,74.9647,128.0739,1023.754,51.87691574,7.70517136,14.85%,2.316747214,2.720872849
Bunk17,Block,South,Unk,195.5186,123.2496,211.6461,1023.754,86.34545018,15.7532962,18.24%,2.264376404,2.769693075
Bunk18,Block,South,Unk,33.3195,21.0722,36.0708,1023.754,14.65058989,2.687462027,18.34%,2.274277026,2.785182971
Bunk19,Block,South,Unk,52.4442,33.0479,56.1674,1023.754,22.58306195,3.636811187,16.10%,2.322280306,2.768051614
Bunk20,Block,South,Unk,17.2005,10.8829,20.0778,1023.754,8.981552209,2.810538469,31.29%,1.915092136,2.787305413
Bunk21,Block,South,Unk,85.3493,53.4286,93.9311,1023.754,39.56272698,8.38267787,21.19%,2.157315901,2.737304861
Bunk22,Block,South,Unk,26.6545,16.8164,29.8724,1023.754,12.75306372,3.143235582,24.65%,2.090046798,2.77367083
Bunk23,Block,South,Unk,24.6988,15.6174,27.6648,1023.754,11.76786611,2.897180377,24.62%,2.098834213,2.784316878
Bunk24,Block,South,Unk,48.9646,30.6182,55.2931,1023.754,24.10237225,6.181660829,25.65%,2.031526171,2.732291082
Bunk25,Block,South,Unk,103.1975,65.3372,109.4951,1023.754,43.13331132,6.151477796,14.26%,2.392524405,2.790491713
Bunk26,Block,South,Unk,34.3184,21.6833,38.0371,1023.754,15.9743454,3.6324156,22.74%,2.148344683,2.780634841
Bunk27,Block,South,Unk,103.6306,61.6974,113.3442,1023.754,50.44844758,9.488216896,18.81%,2.054188087,2.530029697
Bunk28,Block,South,Unk,20.7421,13.1056,22.6294,1023.754,9.302820795,1.843509281,19.82%,2.229657053,2.780698991
Bunk29,Block,South,Unk,17.4729,11.0034,18.9286,1023.754,7.741312854,1.421923626,18.37%,2.257097772,2.764966576
Bunk30,Block,South,Unk,23.6102,14.9639,26.8614,1023.754,11.62144421,3.175762927,27.33%,2.031606362,2.79553528
Bunk31,Block,South,Unk,27.8272,17.6471,29.9731,1023.754,12.0400018,2.096109026,17.41%,2.311228891,2.798421166
Bunk32,Block,South,Unk,22.2501,14.0621,25.9844,1023.754,11.64566878,3.647653636,31.32%,1.910590144,2.78195272
Bunk33,Block,South,Unk,21.3398,13.5041,23.8064,1023.754,10.06325738,2.409367875,23.94%,2.120565855,2.78809878
Bunk34,Block,South,Unk,12.3694,7.8173,14.8425,1023.754,6.86219541,2.415717057,35.20%,1.802542665,2.781841947
Bunk35,Block,South,Unk,21.1049,13.3217,23.3481,1023.754,9.793759048,2.19115139,22.37%,2.154933555,2.776008042
Bunk36,Block,South,Unk,57.2646,35.4172,61.2283,1023.754,25.21220918,3.871730904,15.36%,2.271304335,2.683379409
Bunk37,Block,South,Unk,19.2588,12.2084,21.4184,1023.754,8.996301846,2.109491147,23.45%,2.140746312,2.796475879
Bunk38,Block,South,Unk,49.5167,30.9134,54.6891,1023.754,23.22403624,5.052385632,21.75%,2.132131533,2.724942332
Bunk39,Block,South,Unk,38.7667,24.3156,41.8537,1023.754,17.13116628,3.015372834,17.60%,2.26293408,2.746335171
Bunk40,Block,South,Unk,64.9973,40.9147,70.0978,1023.754,28.50596921,4.982153916,17.48%,2.280129454,2.76304244
Bunk41,Block,South,Unk,26.8883,16.7328,31.1778,1023.565,14.11244034,4.190745092,29.70%,1.905290605,2.710050986
Bunk42,Block,South,Unk,20.6847,13.0803,23.0094,1023.565,9.70050754,2.271179652,23.41%,2.132331727,2.784195328
Bunk43,Block,South,Unk,41.2763,25.7494,48.4934,1023.565,22.22037682,7.050944493,31.73%,1.85758776,2.721018105
Bunk44,Block,South,Unk,24.5839,15.2871,29.8476,1023.565,14.22528125,5.142516596,36.15%,1.728183758,2.70665386
Bunk45,Block,South,Unk,26.8063,16.7644,32.2079,1023.565,15.0879524,5.277241797,34.98%,1.776669179,2.732350497
Bunk46,Block,South,Unk,20.1472,12.5694,24.0944,1023.565,11.25966597,3.856325685,34.25%,1.789324839,2.721366197
Bunk47,Block,South,Unk,6.8874,4.2865,9.2357,1023.565,4.835257165,2.294236321,47.45%,1.424412346,2.71048544
Bunk48,Block,South,Unk,9.3611,5.8707,12.0991,1023.565,6.085006814,2.674964462,43.96%,1.53838776,2.745156521
Bunk49,Block,South,Unk,25.5674,16.1042,29.5254,1023.565,13.11221075,3.866877042,29.49%,1.949892393,2.765438306
Trunk1,Tree,SB,Unk,15.0752,8.5491,19.3348,1023.565,10.53738649,4.161533464,39.49%,1.430639373,2.364420877
Trunk2,Tree,SB,Unk,21.1965,12.8833,27.7682,1023.565,14.54221276,6.420403199,44.15%,1.457584231,2.609824799
Trunk3,Tree,SB,Unk,18.5963,11.4379,25.2701,1023.565,13.51374852,6.520152604,48.25%,1.376102269,2.659046967
Trunk4,Tree,SB,Unk,18.1730,10.8838,24.6612,1023.565,13.46021015,6.338825575,47.09%,1.350127509,2.551891393
Trunk5,Tree,SB,Unk,50.6484,31.1138,62.8321,1023.565,30.98806622,11.90320107,38.41%,1.634448553,2.653851604
Trunk6,Tree,SB,Unk,32.3396,19.8407,41.9541,1023.565,21.60429479,9.393150411,43.48%,1.496906069,2.64836767
Trunk7,Tree,SB,Unk,24.1862,14.8253,30.7694,1023.565,15.57702735,6.43163844,41.29%,1.552683927,2.644633294
Trunk8,Tree,SB,Unk,23.5549,14.3841,30.1547,1023.565,15.40752175,6.447856267,41.85%,1.52879226,2.628993241
Trunk9,Tree,SB,Unk,32.5702,20.0829,42.3514,1023.565,21.75582401,9.556012564,43.92%,1.497079586,2.669729787
Trunk10,Tree,SB,Unk,49.1653,29.7237,59.4791,1023.565,29.07035704,10.07635079,34.66%,1.691252018,2.588463928
Trunk11,Tree,SB,Unk,26.6883,16.5638,30.5209,1023.565,13.63577301,3.744364061,27.46%,1.957226773,2.69812927
Trunk12,Tree,SB,Unk,17.7272,11.0934,24.6204,1023.565,13.21557498,6.734501473,50.96%,1.341386964,2.735225884
Trunk13,Tree,SB,Unk,26.4155,16.0541,34.1507,1023.565,17.67997147,7.557116549,42.74%,1.494091777,2.609491117
Trunk14,Tree,SB,Unk,15.9726,9.2219,21.7352,1023.565,12.22521286,5.629930683,46.05%,1.306529398,2.421822081
Trunk15,Tree,SB,Unk,27.9116,17.1545,34.2271,1023.565,16.67954649,6.170101557,36.99%,1.673402812,2.655858629
Trunk16,Tree,SB,Unk,19.8636,11.8422,26.0181,1023.565,13.84953569,6.012808175,43.42%,1.434243028,2.534680447
Trunk17,Tree,SB,Unk,18.5974,11.4283,24.5904,1023.565,12.85907588,5.855026305,45.53%,1.446247007,2.655235348
Trunk18,Tree,SB,Unk,24.5313,15.2837,32.6931,1023.565,17.00859252,7.973895161,46.88%,1.442288654,2.715232069
Trunk19,Tree,SB,Unk,22.8953,13.8201,30.3634,1023.565,16.16243228,7.296165852,45.14%,1.416575154,2.582293255
Trunk20,Tree,SB,Unk,16.0919,9.7787,20.9672,1023.565,10.93091303,4.763058526,43.57%,1.472146009,2.608994745
Trunk21,Tree,SB,Unk,16.5121,9.8673,22.8264,1023.565,12.66074944,6.168929184,48.72%,1.304196097,2.543523904
Stephs-A1,Tree,KB,Stephs-A,20.4419,12.6341,25.1382,1023.397,12.21823007,4.588932741,37.56%,1.673065565,2.679394853
Stephs-A2,Tree,KB,Stephs-A,15.7484,9.6647,19.4064,1023.397,9.518984324,3.574370454,37.55%,1.654420205,2.649188046
Stephs-A3,Tree,KB,Stephs-A,18.0773,11.1772,22.2007,1023.397,10.77147969,4.029130435,37.41%,1.678255961,2.68115746
Stephs-A4,Tree,KB,Stephs-A,10.0601,5.6164,13.8114,1023.397,8.007645127,3.665537421,45.78%,1.256311917,2.316870212
Stephs-A5,Tree,KB,Stephs-A,21.4621,13.2061,25.9915,1023.397,12.49309896,4.425848424,35.43%,1.717916432,2.660398347
SI-A1,Tree,KB,SI-A,15.9564,9.7984,18.8501,1023.397,8.84475917,2.827543954,31.97%,1.804051382,2.651791473
SI-A2,Tree,KB,SI-A,22.8109,13.8456,27.1263,1023.397,12.97707537,4.216740913,32.49%,1.757784351,2.603884603
SI-A3,Tree,KB,SI-A,18.1992,11.1631,23.9689,1023.397,12.51303258,5.637792567,45.06%,1.454419613,2.647063953
SI-A4,Tree,KB,SI-A,19.0818,11.0898,23.0876,1023.397,11.72350515,3.914219018,33.39%,1.627653143,2.443475585
SI-A5,Tree,KB,SI-A,14.2502,8.9946,17.1459,1023.397,7.964944201,2.82949823,35.52%,1.789114856,2.774870981
SI-A6,Tree,KB,SI-A,13.3672,8.1497,15.6556,1023.397,7.334299397,2.236082381,30.49%,1.822559903,2.621936249
Kelsey1-1,Tree,KB,Kelsey1,25.7073,15.2326,30.2904,1023.397,14.71354714,4.47832073,30.44%,1.747185757,2.511649374
Kelsey1-2,Tree,KB,Kelsey1,13.7630,8.6341,18.4847,1023.397,9.625394642,4.613752043,47.93%,1.429863451,2.746205407
Kelsey1-3,Tree,KB,Kelsey1,13.7132,8.2521,15.8407,1023.397,7.415108702,2.078860892,28.04%,1.849359268,2.569820685
Kelsey1-4,Tree,KB,Kelsey1,13.0926,8.0785,16.1326,1023.397,7.869966396,2.97049923,37.74%,1.663615744,2.672249768
Kelsey1-5,Tree,KB,Kelsey1,9.2145,5.7859,12.3557,1023.397,6.419600605,3.069385585,47.81%,1.43536967,2.75042048
Evans36y-1,Tree,KB,Evans36y,19.9872,12.1641,25.1141,1023.397,12.65393586,5.009688322,39.59%,1.579524364,2.614671999
Evans36y-2,Tree,KB,Evans36y,18.6207,11.2323,22.5308,1023.397,11.04019261,3.82070692,34.61%,1.686628182,2.579228049
Evans36y-3,Tree,KB,Evans36y,14.7244,9.2154,18.6227,1023.397,9.192229409,3.809176693,41.44%,1.601831215,2.735325247
Evans36y-4,Tree,KB,Evans36y,9.0945,5.6348,11.8152,1023.397,6.039103105,2.658499097,44.02%,1.505935541,2.690199733
MK9-1,Tree,KB,MK9,33.0302,19.1324,37.5861,1023.397,18.03180975,4.451742579,24.69%,1.831773985,2.432256011
MK9-2,Tree,KB,MK9,14.2951,8.9473,18.8024,1023.397,9.629791762,4.404253677,45.74%,1.48446616,2.735622584
MK9-3,Tree,KB,MK9,22.5876,14.2316,27.3467,1023.397,12.81526133,4.650297001,36.29%,1.762554771,2.766405227
MK9-4,Tree,KB,MK9,9.3112,5.1791,12.0946,1023.397,6.757397178,2.719765643,40.25%,1.377926997,2.306104438
Kelsey2-1,Tree,KB,Kelsey2,19.9044,11.8174,22.4991,1023.397,10.43749395,2.535379721,24.29%,1.907009488,2.518870193
Kelsey2-2,Tree,KB,Kelsey2,11.6381,7.2939,16.0608,1023.397,8.566470295,4.32158781,50.45%,1.358564216,2.741677783
Kelsey2-3,Tree,KB,Kelsey2,25.1534,15.8022,30.2321,1023.397,14.10000225,4.962590275,35.20%,1.783928794,2.752792593
Kelsey2-4,Tree,KB,Kelsey2,12.4132,6.7758,14.6726,1023.397,7.716262604,2.207745381,28.61%,1.608706266,2.253455785
Cheetos-C1,Tree,KB,Cheetos-C,8.0399,4.9491,11.1869,1023.397,6.09519082,3.075052985,50.45%,1.319056324,2.662097043
Cheetos-C2,Tree,KB,Cheetos-C,10.2621,6.3574,14.9769,1023.397,8.422440167,4.607009792,54.70%,1.218423615,2.689631048
Cheetos-C3,Tree,KB,Cheetos-C,10.4385,6.4919,13.2377,1023.397,6.591576876,2.735204422,41.50%,1.583611964,2.706818422
Cheetos-C4,Tree,KB,Cheetos-C,9.4562,5.9321,11.6765,1023.397,5.613070978,2.169539289,38.65%,1.684674938,2.746076079
Cheetos-C5,Tree,KB,Cheetos-C,8.4318,5.2711,11.2426,1023.397,5.834978996,2.746539222,47.07%,1.445043762,2.730116374
